name,min_price,prices,sizes,inches,Art,Print,Wall,art,Decor,print,Gift,Printable,Poster,Abstract,wall,decor,Watercolor,of,Nursery,Digital,Prints,Large,Modern,Download
"You're My Home - Song Lyrics Wall Art, Song Lyric Gift Idea, You're My Home Sound Wave Song Poster, Custom Song Print, Song Picture",45.0,"['45.00', '65.00', '155.00', '255.00']","[('8', '24'), ('12', '36'), ('8', '24'), ('12', '36')]",1.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Laurie Gates Santa Fe Chili Pepper Cups. Set of 8,59.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Valentine's Printable Wall Art Set of 6,5.0,,,,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Paris Balloon Print - Arc de Triomphe Photo Print - Whimsical Photography Print - Hot Air Balloon Print - Purple Wall Art,25.0,"['25.00', '40.00 - $60.00', '60.00 - $90.00', '75.00 - $110.00', '100.00 - $140.00', '125.00 - $170.00', '150.00 - $200.00', '225.00 - $300.00', '265.00 - $400.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '18'), ('16', '20'), ('20', '24'), ('20', '30'), ('24', '36'), ('30', '40')]",1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Owl and the Pussycat card, Owl and the Pussycat print, Lino print, Childhood poem, Edward Lear, Unique artists card, Blank card",3.46,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forest Canvas Print, Large Wall Art, Canvas Art, Landscape Photography, Foggy Forest, Teal Wall Decor, Home Decor, Living Room Wall Art",59.0,"['59.00', '75.00', '89.00', '125.00', '169.00', '199.00', '229.00', '279.00', '349.00']","[('8', '10'), ('11', '14'), ('12', '16'), ('16', '20'), ('20', '24'), ('24', '30'), ('24', '36'), ('30', '40'), ('36', '48')]",1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Positano, Amalfi Coast, Positano Print, Positano Photograph, Italy Home Decor, Italy Print, Beach Print, Beach Home Decor, Positano Beach",52.72,"['52.72', '80.84', '119.50', '239.00', '414.73', '604.53', '52.72', '80.84', '119.50', '239.00', '414.73']","[('8', '10'), ('11', '14'), ('16', '20'), ('20', '30'), ('30', '40'), ('40', '60')]",1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butterfly Wall Art, Butterflies Print, Insect Art, Beetle Print, Home decor, Gift for her, Butterfly decor, Lady Bugs, Butterfly Art",21.55,,,,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Baby animal nursery art - pick any 3 unframed prints - gender neutral nursery decor- classic nursery art - baby jungle animal,29.4,"['29.40', '42.00', '63.00', '69.30', '92.40']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '16'), ('16', '20')]",1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Florence Cityscape Print, City Skyline, Travel Art, Retro Scooter, Living Room Decor, Tuscany Italy, Europe, Firenze, Architecture Art",22.55,"['23.88', '30.53', '46.49', '61.13', '22.55', '30.53', '46.49', '46.49', '59.80', '73.10', '93.06']","[('13', '18'), ('20', '25'), ('30', '40'), ('40', '50'), ('50', '70'), ('60', '80')]",0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air From Prague, Original Prague Air, Souvenir, Travel Gift, Gag, Prague Gift, Prague Present, Travel Souvenir, Czech, Prague Air, Funny",12.6,"['12.60', '21.77', '21.77']",,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alligator Vinyl Sticker, Crocodile Stickers Laptop Decal, Bumper Sticker Pack, Yeti Girl Power Boss Lady, Weird Stuff Decals 50s Surreal Art",2.99,"['2.99', '6.99', '10.00', '20.00']",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sydney Print, Australia Poster, Sydney Skyline, Sydney Opera House, Travel Poster, Living Room Wall Decor CODE: SYDNEY BLUE",22.91,"['22.91', '40.10', '57.29', '97.39', '22.91', '40.10', '44.68', '44.68', '57.29', '91.66', '108.85']","[('8', '10'), ('11', '14'), ('12', '16'), ('12', '18'), ('16', '20'), ('20', '30'), ('24', '36')]",1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Great dane Print, great dane with wine glass, black and white, great dane hound, Art Print on recycled french book page",5.99,"['5.99', '6.74', '22.12']","[(7.2, 4.9), (11.4, 7.5), (16.5, 11.7)]",1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birmingham UK City Print, Travel Art, Retro Design, Contemporary Living Room Art, Housewarming Homesick Gift, Travel Memories, Moving Gift",22.55,"['23.88', '30.53', '46.49', '61.13', '22.55', '30.53', '46.49', '46.49', '59.80', '73.10', '93.06']","[('13', '18'), ('20', '25'), ('30', '40'), ('40', '50'), ('50', '70'), ('60', '80')]",0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indigo bunting stained glass window hangings Christmas gifts New job gift Custom stained glass bird suncatcher Fairy garden accessories,39.96,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Customizable Valentines Tag Design Easy Download Template Print-at-Home Attach to Pop-By Gifts from Real Estate Agents to Increase Referrals,5.0,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Colorful and highly textured Mosaic Planter. Sure to jazz up your house or garden.,40.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navy Blue Abstract Print ~ Printable Wall Art ~  Watercolour Brush Stroke Painting ~ Hamptons Beach House Style Decor,4.22,,,,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Blush Pink and Gray Print, Printable Watercolor Print, Pink and Black Print, Printable Abstract, Abstract Wall Art, Modern Wall Art, Simple",6.0,,,,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
"3D ferris wheel, miniature brass DIY model kit",14.63,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
